mechanism,missing_frac,seed,method,nrmse,nrmse_refnorm
mcar,0.35,99,softimpute,0.9137177655736558,0.8717747163407512
mcar,0.35,555,knn_k10,1.0431688547498297,1.046028116346092
mcar,0.35,555,knn_k5,1.0417329220475515,1.066821869681653
mcar,0.35,555,softimpute,0.893253584292244,0.8082033805099362
mcar,0.35,31337,knn_k10,1.002928711051522,0.9840411939992804
mcar,0.35,31337,knn_k5,1.020610775746952,0.9998457582174888
mcar,0.35,31337,softimpute,0.9080492224504836,0.8505280494485699
mcar,0.4,123,knn_k10,1.0388137021818058,1.1125384578269952
mcar,0.4,123,knn_k5,1.0493027800192167,1.1155219261312583
mcar,0.4,123,softimpute,0.9107247173113402,0.9018045863521937
mcar,0.4,456,knn_k10,1.0631839988161405,1.0447260265126599
mcar,0.4,456,knn_k5,1.0765007192768388,1.0660904518117384
mcar,0.4,456,softimpute,0.9362412639025588,0.8948751333688554
mcar,0.4,789,knn_k10,1.063280021147618,1.095512576104337
mcar,0.4,789,knn_k5,1.0750134626274428,1.1169557189724206
mcar,0.4,789,softimpute,0.9155323896690173,0.8948416194564146
mcar,0.4,1024,knn_k10,1.0515627108591286,1.0950127734793489
mcar,0.4,1024,knn_k5,1.0641082232342076,1.1123947495421689
mcar,0.4,1024,softimpute,0.8968729810317624,0.8828713509420529
mcar,0.4,1337,knn_k10,1.0286539552605678,1.029341221452055
mcar,0.4,1337,knn_k5,1.0482366707073523,1.043496912016953
mcar,0.4,1337,softimpute,0.923495396233468,0.8799767976524654
mcar,0.4,2024,knn_k10,1.0376680768925852,1.074751165698693
mcar,0.4,2024,knn_k5,1.0528773617390608,1.0918028713602017
mcar,0.4,2024,softimpute,0.9145886432730361,0.9216284446014684
mcar,0.4,7,knn_k10,1.0473848752353496,1.0385268248619188
mcar,0.4,7,knn_k5,1.0600517870401904,1.0587081315253373
mcar,0.4,7,softimpute,0.9277617449540523,0.8663571023874205
mcar,0.4,99,knn_k10,1.0323707387736794,1.0405556829448876
mcar,0.4,99,knn_k5,1.0511766796744555,1.0544203083842025
mcar,0.4,99,softimpute,0.9253864442525594,0.9029224106827083
mcar,0.4,555,knn_k10,1.0789783268418702,1.110604820694984
mcar,0.4,555,knn_k5,1.1031573259799445,1.1286213949484303
mcar,0.4,555,softimpute,0.9272384189219864,0.8824264556259935
mcar,0.4,31337,knn_k10,1.068260582241539,1.054296198515423
mcar,0.4,31337,knn_k5,1.0912724461798988,1.072427063190751
mcar,0.4,31337,softimpute,0.9191385831350551,0.8748743735238489
mcar,0.45,123,knn_k10,1.0445389206787372,1.0929792250585033
mcar,0.45,123,knn_k5,1.0539461893197846,1.1062207447082124
mcar,0.45,123,softimpute,0.9315680064970422,0.941810188845684
mcar,0.45,456,knn_k10,1.0494170341205704,1.032297524100866
mcar,0.45,456,knn_k5,1.063595651290964,1.0549160383013234
mcar,0.45,456,softimpute,0.9692998003075463,0.916774589162185
mcar,0.45,789,knn_k10,1.0768522468168733,1.1201577640004583
mcar,0.45,789,knn_k5,1.0944829295347391,1.136785542870491
mcar,0.45,789,softimpute,0.9367367525334762,0.9274364254102172
mcar,0.45,1024,knn_k10,1.0996475446313436,1.1124665538226286
mcar,0.45,1024,knn_k5,1.109061400182307,1.1322328963767059
mcar,0.45,1024,softimpute,0.9395990448155869,0.9306535041694224
mcar,0.45,1337,knn_k10,1.0600576900237824,1.0941441331464232
mcar,0.45,1337,knn_k5,1.079457623673448,1.104091317836697
mcar,0.45,1337,softimpute,0.9516566474164382,0.93073102219403
mcar,0.45,2024,knn_k10,1.0668068922887919,1.137344846745102
mcar,0.45,2024,knn_k5,1.0760802528301616,1.163844019447997
