method,target,target_type,regressor,cv_seed,r2,rmse
median,Calcium,micro,ridge,1,0.08726180707654892,299.721902350694
median,Calcium,micro,ridge,2,-0.17383361467839936,320.7500291156511
median,Calcium,micro,ridge,3,-0.47222894948507754,342.5085037342895
median,Calcium,micro,ridge,4,-0.2218742077905087,319.6653942545764
median,Calcium,micro,knr,0,0.4620901800651353,242.0206014449987
median,Calcium,micro,knr,1,0.3915018779180687,242.92193891646906
median,Calcium,micro,knr,2,0.43761467569264767,242.18367459631503
median,Calcium,micro,knr,3,0.41804151009187895,237.8167057346646
median,Calcium,micro,knr,4,0.42216716274394006,242.11078336347768
median,Iron,micro,rf,0,0.021961226890748486,5.292472195822884
median,Iron,micro,rf,1,0.08828639266314389,5.1447731554167495
median,Iron,micro,rf,2,0.045455962247778835,5.378769386688854
median,Iron,micro,rf,3,0.05131893855964551,5.252583561672123
median,Iron,micro,rf,4,0.13797214414849582,5.139222904471394
median,Iron,micro,ridge,0,-1.5150225475494437,6.697329737714689
median,Iron,micro,ridge,1,-1.4662859002554032,6.753624187649703
median,Iron,micro,ridge,2,-0.4805055608144514,6.23712733818275
median,Iron,micro,ridge,3,-0.6808819325472925,6.294970533903357
median,Iron,micro,ridge,4,-0.931583749953068,6.951425057523467
median,Iron,micro,knr,0,-0.07097067999782665,5.565856214376348
median,Iron,micro,knr,1,0.008071804985346964,5.317590229142084
median,Iron,micro,knr,2,0.005374486806551437,5.49935992470752
median,Iron,micro,knr,3,0.018766746167396643,5.428150405276935
median,Iron,micro,knr,4,-0.05870209028035127,5.626464228096745
median,Vitamin_C,micro,rf,0,0.19122896337218803,22.872975622375442
median,Vitamin_C,micro,rf,1,0.2069949489932168,22.958310303932357
median,Vitamin_C,micro,rf,2,0.2160263452914009,22.447084720944027
median,Vitamin_C,micro,rf,3,0.18130026241151884,22.654788633051467
median,Vitamin_C,micro,rf,4,0.20807798125006097,22.724966430002475
median,Vitamin_C,micro,ridge,0,0.1226470011350383,23.863894692194712
median,Vitamin_C,micro,ridge,1,0.04444094507948317,25.043015434702568
median,Vitamin_C,micro,ridge,2,-0.22563757816149826,26.273448409516767
median,Vitamin_C,micro,ridge,3,0.04170190593290797,24.954227126559772
median,Vitamin_C,micro,ridge,4,0.13301169931272228,23.89712443387437
median,Vitamin_C,micro,knr,0,0.21053124700998516,22.800717140223945
median,Vitamin_C,micro,knr,1,0.19070705015186362,23.099287038541004
median,Vitamin_C,micro,knr,2,0.13255759415346072,23.57536893731909
median,Vitamin_C,micro,knr,3,0.17979485789940858,23.289051310945162
median,Vitamin_C,micro,knr,4,0.16698066540741427,23.42692438554488
knn_k10,Protein,macro,rf,0,0.7643929581284038,5.552456260008615
knn_k10,Protein,macro,rf,1,0.7494910215984698,5.712830942309817
knn_k10,Protein,macro,rf,2,0.7472482018000399,5.671242364226113
knn_k10,Protein,macro,rf,3,0.7616938034589676,5.530639138006096
knn_k10,Protein,macro,rf,4,0.7531620599621149,5.658013971448462
knn_k10,Protein,macro,ridge,0,0.8141989187536678,4.825186155461821
knn_k10,Protein,macro,ridge,1,0.8176076169490631,4.835789172467592
knn_k10,Protein,macro,ridge,2,0.825184825717308,4.77702500548848
knn_k10,Protein,macro,ridge,3,0.8071923164813543,4.770692261705454
knn_k10,Protein,macro,ridge,4,0.8107575008308588,4.878746385328391
knn_k10,Protein,macro,knr,0,0.6885601400765439,6.370093087830778
knn_k10,Protein,macro,knr,1,0.6657769488955357,6.5578992622657335
knn_k10,Protein,macro,knr,2,0.6889901105515271,6.359919651751406
knn_k10,Protein,macro,knr,3,0.6882004217615105,6.33345784169851
knn_k10,Protein,macro,knr,4,0.6782028726720398,6.458791688523573
knn_k10,Fat,macro,rf,0,0.9465874692891912,2.9156830342685907
knn_k10,Fat,macro,rf,1,0.9538724848699554,2.92279982747716
knn_k10,Fat,macro,rf,2,0.9551158649290119,2.8418855879071874
knn_k10,Fat,macro,rf,3,0.9542864334060936,2.9024580061026857
knn_k10,Fat,macro,rf,4,0.9498206962922495,3.005447245445697
knn_k10,Fat,macro,ridge,0,0.9573264376591147,2.3540369370352967
knn_k10,Fat,macro,ridge,1,0.9702116734662841,2.308813181633284
knn_k10,Fat,macro,ridge,2,0.969069695882942,2.332832230865235
knn_k10,Fat,macro,ridge,3,0.9698703481351469,2.3355171067764324
knn_k10,Fat,macro,ridge,4,0.9680170919184908,2.3391779039965788
knn_k10,Fat,macro,knr,0,0.7186447358062644,6.594069004978195
knn_k10,Fat,macro,knr,1,0.7608730121510178,6.63207705163385
knn_k10,Fat,macro,knr,2,0.7539635702031158,6.542749961528929
knn_k10,Fat,macro,knr,3,0.7800327574926398,6.269396442891477
knn_k10,Fat,macro,knr,4,0.7616788272902697,6.477956947231886
knn_k10,Carbohydrate,macro,rf,0,0.9217908763810716,6.931429768959648
