method,target,target_type,regressor,cv_seed,r2,rmse
knn_k10,Calcium,micro,ridge,1,0.03755287644885748,188.4823487199008
knn_k10,Calcium,micro,ridge,2,0.07820357070254802,188.81865760384684
knn_k10,Calcium,micro,ridge,3,-0.6857728319701919,204.72230046359724
knn_k10,Calcium,micro,ridge,4,-0.3487572766683707,189.91344936822696
knn_k10,Calcium,micro,knr,0,0.4982575195629025,140.44267401313138
knn_k10,Calcium,micro,knr,1,0.49883023454929865,142.2543076082859
knn_k10,Calcium,micro,knr,2,0.5354284485245419,138.08671386303632
knn_k10,Calcium,micro,knr,3,0.49666151678030435,142.07537637573455
knn_k10,Calcium,micro,knr,4,0.531438203947731,137.7525491007077
knn_k10,Iron,micro,rf,0,0.6170886645117839,3.332593276523325
knn_k10,Iron,micro,rf,1,0.5880685062607242,3.455223193237784
knn_k10,Iron,micro,rf,2,0.5977194854668211,3.4225745269747643
knn_k10,Iron,micro,rf,3,0.5914545541251938,3.419256296181346
knn_k10,Iron,micro,rf,4,0.5884940446438552,3.431980593356054
knn_k10,Iron,micro,ridge,0,0.29226911117190574,4.467529627422678
knn_k10,Iron,micro,ridge,1,0.3014226286009093,4.4447491233426275
knn_k10,Iron,micro,ridge,2,0.3361244840336372,4.398096082125875
knn_k10,Iron,micro,ridge,3,0.29949634889076815,4.507406347471151
knn_k10,Iron,micro,ridge,4,0.32915740262886084,4.371884385894759
knn_k10,Iron,micro,knr,0,0.5693053363927438,3.504178048029967
knn_k10,Iron,micro,knr,1,0.583919391567659,3.4894955731068604
knn_k10,Iron,micro,knr,2,0.5691107995257574,3.54761495217119
knn_k10,Iron,micro,knr,3,0.5542779151489544,3.5750841416728862
knn_k10,Iron,micro,knr,4,0.5410921503051831,3.5710915199607847
knn_k10,Vitamin_C,micro,rf,0,-0.2793844075814545,67.73748760258411
knn_k10,Vitamin_C,micro,rf,1,-0.7049267318932776,66.95527199213039
knn_k10,Vitamin_C,micro,rf,2,-0.2344611521770711,65.18289078735418
knn_k10,Vitamin_C,micro,rf,3,-1.2413252677953546,62.61374789687132
knn_k10,Vitamin_C,micro,rf,4,0.15268302312034948,59.50612482011782
knn_k10,Vitamin_C,micro,ridge,0,-0.43062434762967944,74.70426780507098
knn_k10,Vitamin_C,micro,ridge,1,-0.9943182736641084,76.61894918866616
knn_k10,Vitamin_C,micro,ridge,2,-1.6125192778402817,75.09095735035405
knn_k10,Vitamin_C,micro,ridge,3,-0.8124635362525581,63.30963229217527
knn_k10,Vitamin_C,micro,ridge,4,-0.10204042568728607,69.35861840698098
knn_k10,Vitamin_C,micro,knr,0,-0.0719641278265635,65.86222441289522
knn_k10,Vitamin_C,micro,knr,1,-0.1924795739078143,64.40966309919408
knn_k10,Vitamin_C,micro,knr,2,-0.15717654063512707,63.46514653203142
knn_k10,Vitamin_C,micro,knr,3,-0.39495814926019335,60.341142259318886
knn_k10,Vitamin_C,micro,knr,4,0.09199919474265543,63.463499412779925
softimpute,Protein,macro,rf,0,0.9175158924379122,3.100997939830164
softimpute,Protein,macro,rf,1,0.9086596909567259,3.2577105977971152
softimpute,Protein,macro,rf,2,0.9047178580036924,3.34494238322099
softimpute,Protein,macro,rf,3,0.9129450531662165,3.172868946644617
softimpute,Protein,macro,rf,4,0.9069665162409398,3.2801103030431706
softimpute,Protein,macro,ridge,0,0.8476071435959591,4.01810098310132
softimpute,Protein,macro,ridge,1,0.812927833255307,4.300839128528938
softimpute,Protein,macro,ridge,2,0.8716466922063631,3.800180367005769
softimpute,Protein,macro,ridge,3,0.8719233459665501,3.7720078796569583
softimpute,Protein,macro,ridge,4,0.8438996075122793,4.093083730100366
softimpute,Protein,macro,knr,0,0.8671996715074421,3.9322576085541776
softimpute,Protein,macro,knr,1,0.8711742371630324,3.883646386659296
softimpute,Protein,macro,knr,2,0.8731297252522976,3.8476429791718596
softimpute,Protein,macro,knr,3,0.8746557405429314,3.832221966481513
softimpute,Protein,macro,knr,4,0.8673196307251765,3.946816686042637
softimpute,Fat,macro,rf,0,0.992630906507104,1.3996565618032748
softimpute,Fat,macro,rf,1,0.9926774186480065,1.3898636360322292
softimpute,Fat,macro,rf,2,0.9929946849756457,1.36303069819502
softimpute,Fat,macro,rf,3,0.9926312706813414,1.389140015482465
softimpute,Fat,macro,rf,4,0.9928988840606611,1.3745982165911967
softimpute,Fat,macro,ridge,0,0.9760797226879397,2.2752514035391243
softimpute,Fat,macro,ridge,1,0.9764264150766921,2.237094833412941
softimpute,Fat,macro,ridge,2,0.9780966291143731,2.238907111502663
softimpute,Fat,macro,ridge,3,0.980933092226547,2.112884133911833
softimpute,Fat,macro,ridge,4,0.9802931813643596,2.167373673312153
softimpute,Fat,macro,knr,0,0.9562156727922186,3.4069967283876585
softimpute,Fat,macro,knr,1,0.9565300055353969,3.3783608190045804
softimpute,Fat,macro,knr,2,0.9568621326741915,3.3620952860181967
softimpute,Fat,macro,knr,3,0.9572767966548502,3.3239548001768497
softimpute,Fat,macro,knr,4,0.9569474843912534,3.3763747839168916
softimpute,Carbohydrate,macro,rf,0,0.9730633830168898,4.170145990223515
softimpute,Carbohydrate,macro,rf,1,0.9743410383090829,4.10691581001835
softimpute,Carbohydrate,macro,rf,2,0.9725016757725558,4.252973107430483
softimpute,Carbohydrate,macro,rf,3,0.9723337964311316,4.236472541076849
softimpute,Carbohydrate,macro,rf,4,0.9724734655964882,4.242465270601738
softimpute,Carbohydrate,macro,ridge,0,0.955756412046032,4.928056684483394
softimpute,Carbohydrate,macro,ridge,1,0.9551269719661016,4.937579557499879
softimpute,Carbohydrate,macro,ridge,2,0.9597550796944898,4.87590878399117
softimpute,Carbohydrate,macro,ridge,3,0.963527406657913,4.656557434321663
softimpute,Carbohydrate,macro,ridge,4,0.9611985395070317,4.770920990904349
softimpute,Carbohydrate,macro,knr,0,0.9405597010412514,6.213951578619935
softimpute,Carbohydrate,macro,knr,1,0.9430212288724734,6.128151519672857
softimpute,Carbohydrate,macro,knr,2,0.9386276729391104,6.341751704404212
softimpute,Carbohydrate,macro,knr,3,0.9421700202978099,6.159407219331
softimpute,Carbohydrate,macro,knr,4,0.942209959135004,6.167025609869327
softimpute,Calcium,micro,rf,0,0.5055754448895458,134.1685322051571
softimpute,Calcium,micro,rf,1,0.5727480177824199,130.46138301633195
softimpute,Calcium,micro,rf,2,0.6146794406495497,125.72072829866292
softimpute,Calcium,micro,rf,3,0.4508390797098942,144.8367479098913
softimpute,Calcium,micro,rf,4,0.5796097047978614,127.46715486764413
softimpute,Calcium,micro,ridge,0,-0.3080511361685617,186.5165749701514
softimpute,Calcium,micro,ridge,1,0.03654068640298225,188.51479494197014
softimpute,Calcium,micro,ridge,2,0.06872814927744582,189.60799980588519
softimpute,Calcium,micro,ridge,3,-0.6936397378676471,204.91236035325898
softimpute,Calcium,micro,ridge,4,-0.3913330536278964,191.50359054849886
softimpute,Calcium,micro,knr,0,0.4905854101135126,141.14475804725242
softimpute,Calcium,micro,knr,1,0.5039489898195628,141.5999445140081
softimpute,Calcium,micro,knr,2,0.5462164171321572,136.56505406463162
softimpute,Calcium,micro,knr,3,0.5044920581413986,141.20320749041701
softimpute,Calcium,micro,knr,4,0.5416486305773256,136.1779762453379
softimpute,Iron,micro,rf,0,0.620273799226654,3.31584568192159
softimpute,Iron,micro,rf,1,0.5820871647854675,3.4829634680991504
softimpute,Iron,micro,rf,2,0.5895519323688618,3.4530898817934044
softimpute,Iron,micro,rf,3,0.5917614348982649,3.4255995314850294
softimpute,Iron,micro,rf,4,0.5916508799364462,3.416420977001267
softimpute,Iron,micro,ridge,0,0.26499312904084144,4.528634740155501
softimpute,Iron,micro,ridge,1,0.2539403883438928,4.550147641931129
softimpute,Iron,micro,ridge,2,0.3066602231483514,4.498318195944668
softimpute,Iron,micro,ridge,3,0.17236889686676776,4.852461938420939
softimpute,Iron,micro,ridge,4,0.2955597816986688,4.5040348269429495
softimpute,Iron,micro,knr,0,0.5772499767976459,3.4817982366093596
softimpute,Iron,micro,knr,1,0.5793970620767884,3.5067589269681436
softimpute,Iron,micro,knr,2,0.6091297315003394,3.3700128239235325
softimpute,Iron,micro,knr,3,0.585430715437158,3.4493508392988246
softimpute,Iron,micro,knr,4,0.5933761527288226,3.373165883354056
softimpute,Vitamin_C,micro,rf,0,-0.311841875730722,67.921657900218
softimpute,Vitamin_C,micro,rf,1,-0.7731950525918893,70.08500356937842
softimpute,Vitamin_C,micro,rf,2,-0.5709404708122232,69.41203627132884
softimpute,Vitamin_C,micro,rf,3,-1.4028093067390226,64.12395685720288
softimpute,Vitamin_C,micro,rf,4,0.11592854825874248,59.59392387371385
softimpute,Vitamin_C,micro,ridge,0,-0.5347374908366964,77.00029257477327
softimpute,Vitamin_C,micro,ridge,1,-1.1512222380657589,78.24495574470996
softimpute,Vitamin_C,micro,ridge,2,-2.1048689018551743,77.37490568161526
softimpute,Vitamin_C,micro,ridge,3,-0.8191837249831948,63.177023956092775
softimpute,Vitamin_C,micro,ridge,4,-0.15176975508801377,70.72203075428992
softimpute,Vitamin_C,micro,knr,0,-0.06377555813746741,65.54690444783846
softimpute,Vitamin_C,micro,knr,1,-0.04799472177619848,62.23510527719294
softimpute,Vitamin_C,micro,knr,2,-0.12680841311011892,63.00456627673539
softimpute,Vitamin_C,micro,knr,3,-0.44911325783844475,60.07012447764303
softimpute,Vitamin_C,micro,knr,4,0.10982510568186923,62.80210765889825
masked_nmf,Protein,macro,rf,0,0.7320317440428643,5.612482271670567
masked_nmf,Protein,macro,rf,1,0.740061157745451,5.532542431009431
masked_nmf,Protein,macro,rf,2,0.7376497373713027,5.5544702658222445
masked_nmf,Protein,macro,rf,3,0.7368808864543409,5.564950575257636
masked_nmf,Protein,macro,rf,4,0.7321435797276347,5.617126450361612
masked_nmf,Protein,macro,ridge,0,0.21341987345648022,9.629134858951257
masked_nmf,Protein,macro,ridge,1,0.21357477716985923,9.62547176257898
masked_nmf,Protein,macro,ridge,2,0.21201193955334477,9.635247241828441
masked_nmf,Protein,macro,ridge,3,0.2134917486685846,9.626665100568525
masked_nmf,Protein,macro,ridge,4,0.21377103735242792,9.626120319585825
masked_nmf,Protein,macro,knr,0,0.7102570942926456,5.839890928965129
masked_nmf,Protein,macro,knr,1,0.7166677858095796,5.778311461369657
masked_nmf,Protein,macro,knr,2,0.7181828635537283,5.75940878638735
masked_nmf,Protein,macro,knr,3,0.7126678581432013,5.814208067247054
masked_nmf,Protein,macro,knr,4,0.7079118805786118,5.86659859585097
masked_nmf,Fat,macro,rf,0,0.8712284661632312,5.867371282677584
masked_nmf,Fat,macro,rf,1,0.8720862291884253,5.840890938677735
masked_nmf,Fat,macro,rf,2,0.8697563225634255,5.893210435905047
masked_nmf,Fat,macro,rf,3,0.8749753042449411,5.754165691192282
masked_nmf,Fat,macro,rf,4,0.8721663709748665,5.8483817534069145
masked_nmf,Fat,macro,ridge,0,0.5418499616890673,11.0811984554732
masked_nmf,Fat,macro,ridge,1,0.5413427201012748,11.080108508444031
masked_nmf,Fat,macro,ridge,2,0.539516219241144,11.080826583491103
masked_nmf,Fat,macro,ridge,3,0.5423819544010834,11.074189742689684
masked_nmf,Fat,macro,ridge,4,0.5427344233149858,11.075432801307834
masked_nmf,Fat,macro,knr,0,0.8647970817888121,6.007379603744218
masked_nmf,Fat,macro,knr,1,0.8646345155052313,6.004795729815728
masked_nmf,Fat,macro,knr,2,0.8630741454131734,6.048125477474544
masked_nmf,Fat,macro,knr,3,0.8662387958033186,5.973477354274624
masked_nmf,Fat,macro,knr,4,0.8648282532618363,6.013126394045459
masked_nmf,Carbohydrate,macro,rf,0,0.5526025119619806,17.181075079469476
masked_nmf,Carbohydrate,macro,rf,1,0.5477747061556946,17.281388348149875
masked_nmf,Carbohydrate,macro,rf,2,0.5585985117878224,17.073768812659868
masked_nmf,Carbohydrate,macro,rf,3,0.5534791160900113,17.166223451174844
masked_nmf,Carbohydrate,macro,rf,4,0.5633678426478481,16.977589150231218
masked_nmf,Carbohydrate,macro,ridge,0,0.1906838114392879,23.11326038216814
masked_nmf,Carbohydrate,macro,ridge,1,0.19008969900452236,23.12582380850523
masked_nmf,Carbohydrate,macro,ridge,2,0.1896528685180961,23.13468558711108
masked_nmf,Carbohydrate,macro,ridge,3,0.19066004067252393,23.11596611678085
masked_nmf,Carbohydrate,macro,ridge,4,0.18962894961264992,23.129121749379966
masked_nmf,Carbohydrate,macro,knr,0,0.5265773500751718,17.670488901004774
masked_nmf,Carbohydrate,macro,knr,1,0.5335947466030373,17.547255789470427
masked_nmf,Carbohydrate,macro,knr,2,0.5387885096593403,17.452889618021352
masked_nmf,Carbohydrate,macro,knr,3,0.5396754346714454,17.429990086659455
masked_nmf,Carbohydrate,macro,knr,4,0.541770029365763,17.39037161326845
masked_nmf,Calcium,micro,rf,0,-0.08390152269838988,201.21133118715812
masked_nmf,Calcium,micro,rf,1,0.008935644771592833,197.52831645932866
masked_nmf,Calcium,micro,rf,2,0.10549105705346151,189.82745520214436
masked_nmf,Calcium,micro,rf,3,0.08391754734747865,188.4735424698156
masked_nmf,Calcium,micro,rf,4,0.03794761574304302,194.01811691892195
masked_nmf,Calcium,micro,ridge,0,0.05003251007584932,192.6787226847096
masked_nmf,Calcium,micro,ridge,1,0.05101533699851772,196.1888380393285
masked_nmf,Calcium,micro,ridge,2,0.05329019558513719,194.5041179811846
masked_nmf,Calcium,micro,ridge,3,0.06218943010968643,190.03327605977566
masked_nmf,Calcium,micro,ridge,4,0.05297529265905221,193.46337979991307
masked_nmf,Calcium,micro,knr,0,-0.09177420348102168,202.8098248953183
masked_nmf,Calcium,micro,knr,1,-0.037954581837331955,202.52969734852817
masked_nmf,Calcium,micro,knr,2,-0.00878717302378853,200.264795506163
masked_nmf,Calcium,micro,knr,3,-0.026729244955922504,197.45778062839076
masked_nmf,Calcium,micro,knr,4,-0.010852667454416643,199.01026574542226
masked_nmf,Iron,micro,rf,0,0.14000831004829628,4.98955811624238
masked_nmf,Iron,micro,rf,1,0.14826999994221116,4.980822533783851
masked_nmf,Iron,micro,rf,2,0.1612753050799024,4.949320136967106
masked_nmf,Iron,micro,rf,3,0.1470462548191786,4.958483859678461
masked_nmf,Iron,micro,rf,4,0.1475712848361583,4.9436788253211805
masked_nmf,Iron,micro,ridge,0,0.09509155644343067,5.130402904536404
masked_nmf,Iron,micro,ridge,1,0.09686890660187313,5.124286963773072
masked_nmf,Iron,micro,ridge,2,0.09330084645096308,5.14673477326526
masked_nmf,Iron,micro,ridge,3,0.09096867328732225,5.13287989590714
masked_nmf,Iron,micro,ridge,4,0.09407348021826165,5.112463214897236
masked_nmf,Iron,micro,knr,0,0.08280547083973622,5.155504447708771
masked_nmf,Iron,micro,knr,1,0.0979906705369441,5.116816078709652
